geoname,lntitle,geoid,lnnumber,tot_est,tot_moe,adu_est,adu_moe,cit_est,cit_moe,cvap_est,cvap_moe
Delaware,Remainder of Two or More Race Responses,0400000US10,12,4830,1002,2570,578,4445,963,2185,530
Delaware,Hispanic or Latino,0400000US10,13,107830,0,69490,0,84920,1511,49015,1325
District of Columbia,Total,0400000US11,1,672080,0,546405,103,627005,2239,504085,1945
District of Columbia,Not Hispanic or Latino,0400000US11,2,594320,0,490330,103,568925,1765,466415,1539
District of Columbia,American Indian or Alaska Native Alone,0400000US11,3,755,200,755,200,755,200,755,200
District of Columbia,Asian Alone,0400000US11,4,27445,767,25100,575,20110,853,18040,716
District of Columbia,Black or African American Alone,0400000US11,5,289225,1541,225585,1050,281895,1838,218800,1428
District of Columbia,Native Hawaiian or Other Pacific Islander Alone,0400000US11,6,295,72,280,79,275,67,255,66
District of Columbia,White Alone,0400000US11,7,250830,34,221355,34,241155,925,212145,793
District of Columbia,American Indian or Alaska Native and White,0400000US11,8,1275,202,1175,218,1185,183,1085,198
District of Columbia,Asian and White,0400000US11,9,7610,753,4850,563,7310,745,4585,554
District of Columbia,Black or African American and White,0400000US11,10,10420,1269,6620,897,9980,1231,6315,861
District of Columbia,American Indian or Alaska Native and Black or African American,0400000US11,11,2125,666,1555,503,2110,670,1535,506
District of Columbia,Remainder of Two or More Race Responses,0400000US11,12,4335,686,3055,514,4150,697,2895,526
District of Columbia,Hispanic or Latino,0400000US11,13,77760,0,56075,0,58075,1184,37670,1042
Florida,Total,0400000US12,1,21928880,0,17623515,494,19967605,20341,15873200,16777
Florida,Not Hispanic or Latino,0400000US12,2,16063145,0,13117495,415,15334075,10469,12469600,8805
Florida,American Indian or Alaska Native Alone,0400000US12,3,24075,1181,20210,953,23530,1157,19695,936
Florida,Asian Alone,0400000US12,4,628260,3604,514205,2659,479230,4539,379905,3528
Florida,Black or African American Alone,0400000US12,5,3312045,8994,2495950,5389,3062770,10208,2276205,7302
Florida,Native Hawaiian or Other Pacific Islander Alone,0400000US12,6,12315,751,10130,639,10975,775,8980,665
Florida,White Alone,0400000US12,7,11544955,35,9756115,4,11236875,7437,9481495,6509
Florida,American Indian or Alaska Native and White,0400000US12,8,87725,1219,72500,1039,86865,1186,71680,1031
Florida,Asian and White,0400000US12,9,119565,3402,68810,2539,113860,3342,64600,2516
Florida,Black or African American and White,0400000US12,10,234200,7994,112565,4586,225155,7691,104795,4339
Florida,American Indian or Alaska Native and Black or African American,0400000US12,11,15970,1452,12785,1208,15675,1421,12580,1180
Florida,Remainder of Two or More Race Responses,0400000US12,12,84030,3862,54225,2528,79140,3639,49670,2346
Florida,Hispanic or Latino,0400000US12,13,5865735,0,4506020,280,4633530,15983,3403605,13696
Georgia,Total,0400000US13,1,10822590,0,8280520,939,10217165,9601,7737190,8506
Georgia,Not Hispanic or Latino,0400000US13,2,9664290,538,7522765,830,9375185,6776,7267650,5734
Georgia,American Indian or Alaska Native Alone,0400000US13,3,10390,883,8480,696,10165,866,8270,681
Georgia,Asian Alone,0400000US13,4,474210,2593,371740,1720,326880,3522,241595,3126
Georgia,Black or African American Alone,0400000US13,5,3385990,6765,2555955,3982,3311695,8053,2491655,4714
Georgia,Native Hawaiian or Other Pacific Islander Alone,0400000US13,6,5750,870,4195,608,4975,856,3575,624
Georgia,White Alone,0400000US13,7,5473090,7,4407810,201,5412955,2941,4353225,2723
Georgia,American Indian or Alaska Native and White,0400000US13,8,51980,1406,41025,1030,51915,1399,40965,1026
Georgia,Asian and White,0400000US13,9,58570,2323,31035,1625,56665,2272,29430,1521
Georgia,Black or African American and White,0400000US13,10,137135,5049,59285,2617,134125,4846,56855,2512
Georgia,American Indian or Alaska Native and Black or African American,0400000US13,11,19285,1882,15345,1421,19050,1876,15135,1428
Georgia,Remainder of Two or More Race Responses,0400000US13,12,47895,3208,27895,2040,46765,3154,26950,2001
Georgia,Hispanic or Latino,0400000US13,13,1158300,537,757755,854,841980,6471,469540,5651
Hawaii,Total,0400000US15,1,1445635,0,1144165,118,1342420,3234,1050555,2930
Hawaii,Not Hispanic or Latino,0400000US15,2,1303410,0,1055075,115,1204390,3256,965315,3018
Hawaii,American Indian or Alaska Native Alone,0400000US15,3,1780,241,1480,208,1700,234,1405,200
Hawaii,Asian Alone,0400000US15,4,533495,4701,462745,3265,467095,4556,402175,3324
Hawaii,Black or African American Alone,0400000US15,5,26450,767,22020,569,25620,773,21190,568
Hawaii,Native Hawaiian or Other Pacific Islander Alone,0400000US15,6,140720,2343,104545,1653,121420,2569,87765,2019
Hawaii,White Alone,0400000US15,7,312070,6,270495,6,302615,892,261620,842
Hawaii,American Indian or Alaska Native and White,0400000US15,8,7030,241,6080,227,6940,253,5990,241
Hawaii,Asian and White,0400000US15,9,71305,2678,45415,1714,70670,2651,44855,1701
Hawaii,Black or African American and White,0400000US15,10,6380,676,4030,512,6310,665,3960,506
Hawaii,American Indian or Alaska Native and Black or African American,0400000US15,11,855,259,770,241,855,259,770,241
Hawaii,Remainder of Two or More Race Responses,0400000US15,12,203325,5210,137500,3525,201170,5263,135595,3506
Hawaii,Hispanic or Latino,0400000US15,13,142225,0,89090,0,138030,706,85240,638
Idaho,Total,0400000US16,1,1893295,0,1430130,484,1834570,2476,1376250,2156
Idaho,Not Hispanic or Latino,0400000US16,2,1640830,60,1267075,345,1621480,1551,1249935,1387
Idaho,American Indian or Alaska Native Alone,0400000US16,3,14800,720,11310,593,14790,721,11300,595
Idaho,Asian Alone,0400000US16,4,24385,1062,20105,817,17545,1003,13940,745
Idaho,Black or African American Alone,0400000US16,5,13270,803,9310,492,11385,801,7950,500
Idaho,Native Hawaiian or Other Pacific Islander Alone,0400000US16,6,2775,335,1850,269,2470,324,1560,249
Idaho,White Alone,0400000US16,7,1533365,54,1192030,42,1523400,1251,1183045,1137
Idaho,American Indian or Alaska Native and White,0400000US16,8,20375,760,15155,580,20365,759,15145,581
Idaho,Asian and White,0400000US16,9,16645,1061,9135,731,16530,1057,9045,724
Idaho,Black or African American and White,0400000US16,10,8250,787,3890,482,8090,769,3730,492
Idaho,American Indian or Alaska Native and Black or African American,0400000US16,11,245,113,165,72,245,113,165,72
Idaho,Remainder of Two or More Race Responses,0400000US16,12,6720,792,4125,541,6655,785,4055,534
Idaho,Hispanic or Latino,0400000US16,13,252465,60,163055,295,213090,2082,126320,1884
Illinois,Total,0400000US17,1,12692655,0,9883775,509,11830615,10720,9080000,9621
Illinois,Not Hispanic or Latino,0400000US17,2,10344535,232,8246510,458,9947895,6710,7887910,6107
Illinois,American Indian or Alaska Native Alone,0400000US17,3,8995,727,6950,597,8865,735,6820,604
Illinois,Asian Alone,0400000US17,4,737800,2924,593095,1957,541835,4450,414755,3977
Illinois,Black or African American Alone,0400000US17,5,1733885,5990,1324475,3371,1692895,6266,1290915,3973
Illinois,Native Hawaiian or Other Pacific Islander Alone,0400000US17,6,3225,369,2725,291,2805,359,2315,279
Illinois,White Alone,0400000US17,7,7554330,29,6150790,15,7403470,3999,6011935,3629
Illinois,American Indian or Alaska Native and White,0400000US17,8,44440,1175,35035,943,44395,1176,34990,945
Illinois,Asian and White,0400000US17,9,92055,2799,46165,1837,86315,2597,41220,1695
Illinois,Black or African American and White,0400000US17,10,122680,5245,56080,2696,121210,5230,54700,2611
Illinois,American Indian or Alaska Native and Black or African American,0400000US17,11,11865,1462,9165,971,11845,1458,9145,966
Illinois,Remainder of Two or More Race Responses,0400000US17,12,35265,2123,22030,1560,34265,2073,21115,1510
Illinois,Hispanic or Latino,0400000US17,13,2348120,226,1637260,293,1882715,7269,1192090,6658
Indiana,Total,0400000US18,1,6811750,0,5215680,596,6576880,5244,5004980,4453
Indiana,Not Hispanic or Latino,0400000US18,2,6242340,176,4850930,563,6123800,3404,4746370,2980
Indiana,American Indian or Alaska Native Alone,0400000US18,3,4865,419,4115,360,4805,416,4055,358
Indiana,Asian Alone,0400000US18,4,173250,1872,132345,1297,110565,2399,75505,1860
Indiana,Black or African American Alone,0400000US18,5,629870,4103,459285,2494,601540,4495,436145,3104
Indiana,Native Hawaiian or Other Pacific Islander Alone,0400000US18,6,2130,273,1750,241,1845,270,1495,245
Indiana,White Alone,0400000US18,7,5239420,30,4148730,30,5215400,1848,4126940,1685
Indiana,American Indian or Alaska Native and White,0400000US18,8,42010,954,33255,710,41940,953,33190,715
Indiana,Asian and White,0400000US18,9,30880,1743,16425,1187,29785,1717,15445,1134
Indiana,Black or African American and White,0400000US18,10,98705,3833,41750,2220,97995,3777,41165,2178
Indiana,American Indian or Alaska Native and Black or African American,0400000US18,11,4515,831,3500,595,4480,821,3465,586
Indiana,Remainder of Two or More Race Responses,0400000US18,12,16690,1644,9765,1088,15445,1427,8970,857
Indiana,Hispanic or Latino,0400000US18,13,569410,176,364750,304,453080,3602,258605,3049
Iowa,Total,0400000US19,1,3195935,0,2459360,455,3095590,3509,2370445,3086
Iowa,Not Hispanic or Latino,0400000US19,2,2972465,140,2319200,427,2915935,2971,2270335,2518
Iowa,American Indian or Alaska Native Alone,0400000US19,3,5555,425,4330,318,5545,419,4320,313
Iowa,Asian Alone,0400000US19,4,78320,1507,61330,1039,51475,1659,37185,1222
Iowa,Black or African American Alone,0400000US19,5,121650,2159,82485,1195,106890,2183,71095,1297
Iowa,Native Hawaiian or Other Pacific Islander Alone,0400000US19,6,4290,349,2850,257,2415,384,1295,270
Iowa,White Alone,0400000US19,7,2681605,24,2125975,24,2669840,1525,2115315,1271
Iowa,American Indian or Alaska Native and White,0400000US19,8,16135,484,12145,372,16105,482,12115,370
Iowa,Asian and White,0400000US19,9,18735,1421,9400,948,18215,1367,8975,905
Iowa,Black or African American and White,0400000US19,10,37235,1803,15090,920,36800,1779,14720,926
Iowa,American Indian or Alaska Native and Black or African American,0400000US19,11,1485,473,845,212,1485,473,845,212
Iowa,Remainder of Two or More Race Responses,0400000US19,12,7455,848,4755,628,7165,824,4465,614
Iowa,Hispanic or Latino,0400000US19,13,223470,138,140160,262,179660,1998,100110,1763
Kansas,Total,0400000US20,1,2937570,0,2232750,447,2816515,4096,2122790,3407
Kansas,Not Hispanic or Latino,0400000US20,2,2548055,148,1983270,405,2503435,2513,1944260,2060
Kansas,American Indian or Alaska Native Alone,0400000US20,3,12635,598,9955,511,12615,597,9935,509
Kansas,Asian Alone,0400000US20,4,85330,1313,66785,979,62280,1705,46175,1336
Kansas,Black or African American Alone,0400000US20,5,157075,2296,119350,1309,149490,2592,113250,1666
Kansas,Native Hawaiian or Other Pacific Islander Alone,0400000US20,6,2425,396,1845,356,1545,269,1045,273
Kansas,White Alone,0400000US20,7,2181125,167,1723205,133,2169250,1185,1712755,1011
Kansas,American Indian or Alaska Native and White,0400000US20,8,34290,628,25845,559,34285,628,25840,558
Kansas,Asian and White,0400000US20,9,19620,1266,10895,918,18785,1194,10240,891
Kansas,Black or African American and White,0400000US20,10,40125,2039,16290,1065,39905,2033,16075,1064
Kansas,American Indian or Alaska Native and Black or African American,0400000US20,11,3965,846,2380,421,3960,846,2380,422
Kansas,Remainder of Two or More Race Responses,0400000US20,12,11460,1152,6715,789,11310,1152,6575,783
Kansas,Hispanic or Latino,0400000US20,13,389515,130,249480,170,313080,2828,178530,2460
Kentucky,Total,0400000US21,1,4510725,0,3487980,705,4395160,3518,3387765,3118
Kentucky,Not Hispanic or Latino,0400000US21,2,4298560,541,3354470,735,4239305,2979,3304930,2376
Kentucky,American Indian or Alaska Native Alone,0400000US21,3,3665,405,3160,343,3545,384,3055,332
Kentucky,Asian Alone,0400000US21,4,68335,1478,51465,971,43840,1530,30895,1177
Kentucky,Black or African American Alone,0400000US21,5,353960,2685,264650,1829,338000,3061,252275,2254
Kentucky,Native Hawaiian or Other Pacific Islander Alone,0400000US21,6,3355,534,2310,452,2585,484,1670,381
Kentucky,White Alone,0400000US21,7,3743705,128,2963310,64,3728000,1353,2949215,1166
Kentucky,American Indian or Alaska Native and White,0400000US21,8,28770,757,23265,620,28760,755,23255,616
Kentucky,Asian and White,0400000US21,9,19840,1558,10905,1015,18605,1407,9920,909
Kentucky,Black or African American and White,0400000US21,10,62010,2391,25895,1545,61480,2356,25440,1526
Kentucky,American Indian or Alaska Native and Black or African American,0400000US21,11,3300,679,2670,536,3300,679,2670,536
Kentucky,Remainder of Two or More Race Responses,0400000US21,12,11625,1238,6840,764,11185,1218,6535,758
Kentucky,Hispanic or Latino,0400000US21,13,212165,542,133505,462,155855,1890,82830,1804
Louisiana,Total,0400000US22,1,4621025,0,3532360,414,4492100,4126,3420770,3344
Louisiana,Not Hispanic or Latino,0400000US22,2,4300005,202,3314555,244,4256215,2242,3274500,1887
Louisiana,American Indian or Alaska Native Alone,0400000US22,3,18995,875,14820,634,18930,877,14755,637
Louisiana,Asian Alone,0400000US22,4,79940,1146,64515,883,59545,1594,45780,1385
Louisiana,Black or African American Alone,0400000US22,5,1438110,4850,1063680,2767,1430960,5262,1057815,3002
Louisiana,Native Hawaiian or Other Pacific Islander Alone,0400000US22,6,2575,822,1960,619,2480,824,1865,615
Louisiana,White Alone,0400000US22,7,2635590,33,2099035,33,2620475,1401,2084650,1296
Louisiana,American Indian or Alaska Native and White,0400000US22,8,29175,1041,22335,792,29170,1040,22325,794
Louisiana,Asian and White,0400000US22,9,16270,1206,8040,879,15960,1175,7770,831
Louisiana,Black or African American and White,0400000US22,10,55235,3598,23215,2073,54720,3565,22700,2044
Louisiana,American Indian or Alaska Native and Black or African American,0400000US22,11,10305,1572,7615,1023,10305,1572,7615,1023
Louisiana,Remainder of Two or More Race Responses,0400000US22,12,13805,1610,9340,950,13675,1606,9230,950
Louisiana,Hispanic or Latino,0400000US22,13,321020,204,217810,363,235880,3953,146275,3012
Maine,Total,0400000US23,1,1377400,0,1125520,143,1353085,1544,1104260,1292
Maine,Not Hispanic or Latino,0400000US23,2,1348790,0,1105405,128,1326890,1473,1086280,1243
Maine,American Indian or Alaska Native Alone,0400000US23,3,5320,383,4260,320,5280,387,4225,324
Maine,Asian Alone,0400000US23,4,15375,859,12880,637,11555,836,9205,640
Maine,Black or African American Alone,0400000US23,5,22905,862,15005,625,15600,887,9750,616
Maine,Native Hawaiian or Other Pacific Islander Alone,0400000US23,6,255,80,200,64,230,79,170,62
Maine,White Alone,0400000US23,7,1272295,26,1052420,26,1262210,866,1042825,814
Maine,American Indian or Alaska Native and White,0400000US23,8,12930,392,9885,332,12825,395,9795,337
Maine,Asian and White,0400000US23,9,8600,878,5075,635,8340,844,4820,601
Maine,Black or African American and White,0400000US23,10,8140,747,4120,522,8020,715,4065,513
Maine,American Indian or Alaska Native and Black or African American,0400000US23,11,195,108,175,104,190,107,165,105
Maine,Remainder of Two or More Race Responses,0400000US23,12,2775,538,1385,335,2640,507,1255,294
Maine,Hispanic or Latino,0400000US23,13,28610,0,20115,94,26195,501,17980,422
Maryland,Total,0400000US24,1,6170740,0,4794800,195,5711095,7754,4390315,6608
Maryland,Not Hispanic or Latino,0400000US24,2,5426465,0,4302370,183,5187790,5589,4091210,4947
Maryland,American Indian or Alaska Native Alone,0400000US24,3,7895,570,6255,445,7740,555,6105,431
Maryland,Asian Alone,0400000US24,4,399210,2535,320960,1633,304515,3689,234960,2692
Maryland,Black or African American Alone,0400000US24,5,1821120,4382,1416680,2718,1728510,4915,1335735,3826
Maryland,Native Hawaiian or Other Pacific Islander Alone,0400000US24,6,2010,276,1640,235,1925,268,1560,228
Maryland,White Alone,0400000US24,7,2978220,32,2436485,32,2933115,2293,2397270,1890
Maryland,American Indian or Alaska Native and White,0400000US24,8,19950,568,15945,466,19885,573,15880,474
Maryland,Asian and White,0400000US24,9,60285,2482,29805,1559,56980,2313,27525,1443
Maryland,Black or African American and White,0400000US24,10,87825,3810,42390,2176,86370,3794,41030,2155
Maryland,American Indian or Alaska Native and Black or African American,0400000US24,11,13840,1482,10700,1042,13750,1491,10610,1048
Maryland,Remainder of Two or More Race Responses,0400000US24,12,36115,2244,21500,1535,34995,2183,20535,1497
Maryland,Hispanic or Latino,0400000US24,13,744270,0,492435,0,523305,5593,299105,4608
Massachusetts,Total,0400000US25,1,6992395,0,5623985,345,6429835,9102,5120350,7806
Massachusetts,Not Hispanic or Latino,0400000US25,2,6087715,0,4992295,338,5691455,6494,4635095,5696
Massachusetts,American Indian or Alaska Native Alone,0400000US25,3,6775,541,5400,448,6335,530,5030,454
Massachusetts,Asian Alone,0400000US25,4,500800,2777,405855,1663,345530,3816,262210,3057
Massachusetts,Black or African American Alone,0400000US25,5,504400,3308,386805,2070,433525,3395,325035,2468
Massachusetts,Native Hawaiian or Other Pacific Islander Alone,0400000US25,6,2485,278,1970,255,2170,287,1690,264
Massachusetts,White Alone,0400000US25,7,4892855,32,4090475,32,4733570,4861,3947675,4083
Massachusetts,American Indian or Alaska Native and White,0400000US25,8,21190,540,16915,464,21040,527,16765,449
Massachusetts,Asian and White,0400000US25,9,65190,2651,32185,1553,62075,2575,29615,1478
Massachusetts,Black or African American and White,0400000US25,10,70075,3053,37065,1810,64290,2892,32435,1665
Massachusetts,American Indian or Alaska Native and Black or African American,0400000US25,11,5510,1013,4015,631,5250,998,3795,639
Massachusetts,Remainder of Two or More Race Responses,0400000US25,12,18430,1458,11595,1053,17660,1428,10840,1024
Massachusetts,Hispanic or Latino,0400000US25,13,904680,0,631695,19,738380,4913,485255,4252
Michigan,Total,0400000US26,1,10051595,0,7896800,240,9741555,5152,7620215,4519
Michigan,Not Hispanic or Latino,0400000US26,2,9474785,0,7514590,226,9246050,4528,7313270,3925
Michigan,American Indian or Alaska Native Alone,0400000US26,3,33520,1108,26455,855,33090,1065,26030,814
Michigan,Asian Alone,0400000US26,4,330470,2289,262170,1538,222660,2917,165570,2178
Michigan,Black or African American Alone,0400000US26,5,1342695,5648,1011945,3396,1322340,5929,995315,3574
Michigan,Native Hawaiian or Other Pacific Islander Alone,0400000US26,6,2400,391,1840,312,1895,305,1400,258
Michigan,White Alone,0400000US26,7,7443245,26,6027905,16,7349325,3402,5945160,2950
Michigan,American Indian or Alaska Native and White,0400000US26,8,74675,1195,56610,909,74580,1200,56520,915
